Date : 2024-09-25 13:20:08
Directory : c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app
Total : 2238 files,  -686215 codes, -44464 comments, -103319 blanks, all -833998 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\index.py                            | Python     |       -108 |         -4 |        -28 |       -140 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\inspect.py                          | Python     |        -77 |         -6 |        -10 |        -93 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\install.py                          | Python     |       -646 |        -36 |        -93 |       -775 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\list.py                             | Python     |       -299 |        -13 |        -57 |       -369 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\search.py                           | Python     |       -142 |         -2 |        -31 |       -175 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\show.py                             | Python     |       -162 |          0 |        -28 |       -190 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\uninstall.py                        | Python     |        -99 |          0 |        -15 |       -114 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\commands\wheel.py                            | Python     |       -151 |         -2 |        -31 |       -184 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\configuration.py                             | Python     |       -279 |        -33 |        -72 |       -384 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\__init__.py                    | Python     |        -13 |         -4 |         -5 |        -22 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\base.py                        | Python     |        -38 |          0 |        -14 |        -52 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\installed.py                   | Python     |        -22 |          0 |         -8 |        -30 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\sdist.py                       | Python     |       -122 |        -18 |        -17 |       -157 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\distributions\wheel.py                       | Python     |        -32 |          0 |         -9 |        -41 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\exceptions.py                                | Python     |       -546 |        -23 |       -160 |       -729 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\index\__init__.py                            | Python     |         -2 |          0 |         -1 |         -3 |
| c:\Users\edwar\OneDrive\Documents\Programming\Visual Studio 2022\PARTS_Web\app\env_web\Lib\site-packages\pip\_internal\index\collector.py                           | Python     |       -393 |        -29 |        -86 |       -508 |
